crop_group,crop_en,crop_bn,page,sowing_windows,sow_start,sow_end,seed_rate_kg_ha_min,seed_rate_kg_ha_max,row_spacing_cm,plant_spacing_cm,urea_kg_ha,tsp_kg_ha,mop_kg_ha,gypsum_kg_ha,zinc_sulphate_kg_ha,boron_kg_ha,cowdung_t_ha,irrigations_min,irrigations_max,harvest_days_min,harvest_days_max,harvest_windows,yield_t_ha_min,yield_t_ha_max,n_fields,sowing_time_bn,seed_rate_bn,fertilizer_method_bn,irrigation_bn,harvest_bn,note,source
vegetable,sweet pepper,মিষ্টিমরিচ,161,,,,,,,,,,,,12.0,,,,,,,,,,2,,,,,"মিষ্টিমরিচ সাধারণত পরিপক্ক সবুজ অবস্থায় এবং বারি মিষ্টিমরিচ-1 পরিপূর্ণ লাল রং হলেও বারি মিষ্টিমরিচ-2 পরিপূর্ণ হলুদ, লালচে হলদে হওয়ার পূর্বেই মাঠ থেকে উঠানো হয়। সাধারণত সপ্তাহে একবার গাছ থেকে ফল সংগ্রহ করা হয়ে থাকে। ফল সংগ্রহের পর ঠাণ্ডা অথচ ছায়া যুক্ত স্থানে বাজার জাতকরণের পূর্ব পর্যন্ত সংরক্ষণ করতে হবে। উল্লেখ যে, ফসল সংগ্রহের সময় প্রতিটি ফলে সামান্য পরিমাণে বোঁটা রেখে দিতে হবে।",,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,radish,মুলা,163,,,,2.5,3.0,60.0,45.0,,,,,,,,2.0,3.0,,,,,,8,,আশ্বিন থেকে কার্তিক মাস (মধ্য-সেপ্টেম্বর থেকে মধ্য-নভেম্বর) মুলার বীজ বপন করা যায়। হেক্টরপ্রতি 2.5-3.0 কেজি বীজের প্রয়োজন হয়। সাধারণত মুলার বীজ ছিটিয়ে বপন করা হয়। কিন্তু বীজ সারিতে বপন করা ভাল। এতে বীজের পরিমাণ কম লাগে এবং পরবর্তী পরিচর্যা করা সহজ হয়।,শেষ চাষের সময় সবটুকু গোবর বা কম্পোস্ট সারের এক তৃতীয়ংশ সমানভাবে ছিটিয়ে মাটির সাথে মিশিয়ে দিতে হবে। বাকি ইউরিয়া ও এমপি সার সমান অংশে যথাক্রমে বীজ বপনের তৃতীয় ও পঞ্চম সপ্তাহে 2 কিস্তিতে প্রয়োগ করতে হবে।,,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,hyacinth bean,শিম,166,15 Jun-14 Jul; 1 Jun-30 Jun,06-15,07-14,7.5,7.5,150.0,,,,,,,,,,,95.0,145.0,,,,10,আষাঢ় মাসের মাঝামাঝী থেকে বীজ বপন করা যেতে পারে। তবে আগাম ফসলের জন্য জ্যৈষ্ঠের মাঝামাঝী থেকে আষাঢ়ের মাঝামাঝী (জুন মাস) বীজ বপন করা উত্তম। গ্রীষ্মকালীন জাতগুলো বছরের যে কোন সময় বপন করা যায়। বপনের সময় দূরত্ব এবং বপন পদ্ধতির উপর বীজের হার নির্ভর করে।,"প্রতি হেক্টরে 7.5 কেজি, একরে 3.0 কেজি এবং শতকে 30 গ্রাম বীজ প্রয়োজন।",শেষ চাষের সময় সম্পূর্ণ গোবর সার এবং জিপসাম ও বরিক এসিড সবটুকু ছিটিয়ে জমিতে প্রয়োগ করে চাষ দিয়ে মাটির সাথে ভালভাবে মিশিয়ে দিতে হবে। বীজ বপন বা চারা রোপণের 4-5 দিন আগেই ইউরিয়া ও এমপি (পটাশ) সারের অর্ধেক এবং টিএসপি সারের সবটুকু একত্রে ছিটিয়ে প্রয়োগ করে মাদার মাটির সাথে (10 সেমি গভীর পর্যন্ত) কোদালের দ্বারা হালকাভাবে কুপিয়ে ভালভাবে মিশিয়ে দিতে হবে। বপন/রোপণের 30 দিন পর বাকি অর্ধেক ইউরিয়া ও এমপি সার মাদায় উপরি প্রয়োগ করতে হবে।,,জাতভেদে বীজ বপনের 95-145 দিন পর শিমের শুঁটি (পড) গাছ থেকে তুলে বাজারজাত করা যেতে পারে। ফুল ফোঁটার 25 থেকে 30 দিনের মধ্যে শিম তোলার সবচেয়ে উপযুক্ত সময়। 5-7 দিন অন্তর অন্তর গাছ থেকে শিম তুললে মোট 13-14 বার গুণগত মানসম্পন্ন শুঁটি (পড) সংগ্রহ করা যায় এবং এতে হেক্টরপ্রতি প্রায় 15-20 মে. টন শিম পাওয়া যায়। সারের নাম মোট শেষ চাষের বপন/চারা গর্তে উপরি পরিমাণ সময় প্রয়োগ রোপণের প্রয়োগ (বপনের/ সময় গর্তে প্রয়োগ রোপণের 30 দিন পর) গোবর 10 টন সব - - ইউরিয়া 25 কেজি - 12.5 12.5 টিএসপি 90 কেজি - সব - এ,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,bush bean,ঝাড় শিম,169,1 Nov-30 Nov; 1 Oct-30 Oct,11-01,11-30,120.0,125.0,,,225.0,225.0,165.0,,,,5.0,,,,,,,,8,আমাদের দেশে নভেম্বর মাস ঝাড় শিমের বীজ বপনের জন্য সবচেয়ে উত্তম সময়। তবে সুনিষ্কাশিত জমি হলে অক্টোবর মাসে ঝাড়শিম-3 রোপণ করতে পারলে আগাম খাইস্যা শিমের দাম ভাল পাওয়া যায়।,120-125 কেজি/হেক্টর।,"জমি তৈরির সময় সমুদয় গোবর, টিএসপি, এমপি ও অর্ধেক ইউরিয়া প্রয়োগ করতে হয়। বাকি ইউরিয়া 15 দিন ও 30 দিন পর 2 বারে উপরি প্রয়োগ করা হয়।",,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,winged bean,কামরাঙ্গা শিম,170,1 Nov-30 Nov; 1 Oct-30 Oct,11-01,11-30,120.0,125.0,,,225.0,225.0,165.0,,,,5.0,,,,,,,,8,আমাদের দেশে নভেম্বর মাস ঝাড় শিমের বীজ বপনের জন্য সবচেয়ে উত্তম সময়। তবে সুনিষ্কাশিত জমি হলে অক্টোবর মাসে ঝাড়শিম-3 রোপণ করতে পারলে আগাম খাইস্যা শিমের দাম ভাল পাওয়া যায়।,120-125 কেজি/হেক্টর।,"জমি তৈরির সময় সমুদয় গোবর, টিএসপি, এমপি ও অর্ধেক ইউরিয়া প্রয়োগ করতে হয়। বাকি ইউরিয়া 15 দিন ও 30 দিন পর 2 বারে উপরি প্রয়োগ করা হয়।",,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,yardlong bean,বরবটি,171,1 Mar-30 Apr,03-01,04-30,2.5,3.0,60.0,30.0,50.0,150.0,150.0,,,,10.0,,,60.0,70.0,,12.0,20.0,36,বরবটি খরিফ মৌসুমে জন্মানো হয়। মার্চ - এপ্রিল মাস বপনের উপযুক্ত সময়।,, শেষ চাষের সময় সম্পূর্ণ গোবর ও টিএসপি এবং অর্ধেক এমওপি সমান ভাবে ছিটিয়ে মাটির সাথে ভালো ভাবে মিাশয়ে দিতে হবে।  সম্পূর্ণ ইউরিয়া ও বাকি অর্ধেক এমওপি সার 2কিস্তিতে চারা লাগানোর 15 এবং 35 দিন পর সমভাবে গাছের গোড়ায় 10-15 সেমি দূরে মাটির সাথে ভালো ভাবে মিশিয়ে দিতে হবে।,,বরবটি কেবল শুঁটি (পড) এর জন্য জন্মানো হয়। বীজ বোনার 60-70দিন পর থেকে বরবটির শুঁটি সংগ্রহ করা যায়। দু-তিন মাস ফল দিয়ে গাছ মার যায়। পূর্ণ আকার প্রাপ্ত হয়েছে কিন্তু খোসা আঁশময় হয়নি এমন পর্যায়ে শুঁটি সংগ্রহ করলে ফলন ও গুন ভাল হয়। 2-3 দিন অন্তর শুঁটি সংগ্রহ করা যেতে পারে। হেক্টরপ্রতি ফলন 12-20 টন।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,garden pea,মটরশুঁটি,176,1 Nov-28 Feb; 1 Nov-30 Nov; 1 Oct-30 Oct; 23 Feb-28 Feb,11-01,02-28,70.0,80.0,,,100.0,150.0,100.0,,,,11.0,,,,,,,,22,"বাংলাদেশের মটর চাষের উপযোগী জলবায়ুর স্থায়িত্ব মাত্র চার মাস, নভেম্বর থেকে ফেব্রুয়ারি। নভেম্বর মাসই বীজ বোনার উৎকৃষ্ট সময়। অক্টোবরেও বীজ বোনা যেতে পারে, তবে প্রায়শই নাবি বৃষ্টিপাতের কারণে এ সময় জমি তৈরি সম্ভব হয় না। ফেব্রুয়ারির শেষ দিকে তাপমাত্র দ্রুত বৃদ্ধি পায়, এ সময় ফল না দিয়েই ফুল ঝরে পড়ে এবং গাছ পাউডারী মিলডিউ রোগে আক্রান্ত হয়। তাই ফলন পেতে হলে মৌসুমের শুরুতেই আগাম জাত লাগানো উচিত।",,• শেষ চাষের সময় সম্পূর্ণ গোবর ও টিএসপি এবং অর্ধেক ইউরিয়া ও অর্ধেক এমওপি সমানভাবে ছিটিয়ে মাটির সাথে ভালো ভাবে মিাশয়ে দিতে হবে। • বাকিগোবর ও টিএসপি সার চারা লাগানোর 7 দিন পূর্বে গর্তে মাটির সাথে ভালোভাবে মিাশয়ে দিতে হবে। • বাকি অর্ধেক ইউরিয়া ও এমওপি সার 2 কিস্তিতে বীজ বপনের 20 ও 40 দিন পর সমভাবে গাছের গোড়ায় মাটির সাথে ভালোভাবে মিশিয়ে দিতে হবে।,,বীজ বোনার 35-40 দিন পর আগাম জাতে এবং 50-60 দিন পর নাবি জাতের গাছে ফুল আসে। ফুল ফোটার 20-25 দিন পর অপক্ক বীজের জন্য শুঁটি সংগ্রহ করা যায়। পূর্ণ আকার প্রাপ্ত হয়েছে কিন্তু শক্ত হয়নি এমন পর্যায়ে সংগৃহীত বীজের গুণ সবচেয়ে ভাল হয়। জাত ও ফসলের যত্ন অনুযায়ী প্রতি হেক্টওে 3-5 টন শুঁটি পাওয়া যায়। শুঁটির ওজনের 35-40% বীজ।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,lettuce,লেটুস,178,,,,,,5.0,5.0,,,,,,,,,,,,,,,8,বীজ তলায় 5×5 সেমি দূরত্বে বীজ বপন করে চারা উৎপাদন করা হয়। লেটুসের বীজ আলোক সংবেদনশীল। এর বীজ ফটোব্লাস্টিক (Photoblastic)। মাঠে লেটুসের বীজের অঙ্কুরোদগম হার অনেক সময় কম হয়। 10 পিপিএম GA3 দ্রবণে বীজ 12 ঘণ্টা ভিজিয়ে বপন করলে কা•িক্ষত অঙ্কুরোদ্ম হার পাওয়া যায়। 20-22 দিনের চারা বীজ তলায় উৎপাদন করে মূল জমিতে রোপণ করতে হয়। বীজ সরাসরি ছিটিয়ে বা চারা রোপণ করে লেটুসের চাষ করা যায়। জাতভেদে 40-45 সেমি দূরত্বে সারি করে একটু ঘনভাবে বীজ বোনা যায়। পরবর্তী সময় দুটি গাছের মধ্যে 25-30 সেমি ব্যবধান থাকে। বৃষ্টির মৌসুম শেষ না হলে এ পদ্ধতি ঝুঁকিপূর্ণ। আগাম মৌসুমে বৃহদাকার জাত চাষ করতে হলে চারা রোপণ উত্তম। এ পদ্ধতিতে হেক্টরপ্রতি 200 গ্রাম বীজ 3×1 মিটারের 25 টি বেডে বুনতে হবে। চারার বয়স 30-40 দিন হলে ,,,,"লেটুসের ফসল সংগ্রহের সুনির্দিষ্ট সময় নেই, মাথা বাঁধার পর সংগ্রহ করতে হবে। ঢিলে পাতা জাত একবারে অথবা নিচের দিক থেকে ক্রমান্বয়ে পাতা সংগ্রহ করা যেতে পারে।",,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,stem amaranth,ডাঁটা,180,1 Feb-30 Jun,02-01,06-30,1.0,1.5,,,,,,,,,,,,55.0,60.0,,,,39,ফেব্রুয়ারী থেকে জুন মাস বীজ বপনের জন্য উপযুক্ত সময়। তবে সেচের ব্যবস্হা থাকলে ডাঁটার বীজ সারা বছরই বপন করা যায়।,সারিতে বপনের জন্য ঃ 1.0-1.5 কেজি/হেক্টর (4-6 গ্রাম/শতাংশ) ছিটিয়ে বপনের জন্য ঃ 2-3 কেজি/হেক্টর (8-12 গ্রাম/শতাংশ),,,ডাঁটার কাণ্ডের মাঝামাঝি ভাঙ্গার চেষ্টা করলে যদি সহজে ভেঙ্গে যায় তাহলে বুঝতে হবে ডাটা আঁশমুক্ত আছে। এ অবস্থাই ডাটা সংগ্রহের উপযুক্ত সময় । সাধারনত বীজ বপনের 55-60 দিনের মধ্যে সংগ্রহ করতে হবে।,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,cauliflower,ফুলকপি,184,,,,,,75.0,75.0,,,,,,,,1.0,1.0,15.0,15.0,,,,11,"ফুলকপি চাষের জন্য চারা উৎপাদন অত্যন্ত গুরুত্বপূর্ণ। আমাদের দেশে সাধারণত ফুলকপির বীজ সরাসরি বীজতলায় বপন করা হয়। চারাগুলি দ্বিতীয় বীজতলায় স্থানান্তর করা হয় না। এতে বীজের পরিমাণ বেশি লাগে। উপরন্তু চারার স্বাস্থ্য ভাল হয় না। অথচ ভাল ফসল পেতে হলে সুস্থ সবল চারা লাগাতে হয়। তাই প্রাথমিকভাবে বীজতলায় ঘন করে বীজ ফেলতে হয়। বীজ গজানোর 10-12 দিন পর গজানো চারা দ্বিতীয় বীজতলায় স্থানান্তর করতে হয়। প্রতিটি বীজতলার আকার পাশে 1 মিটার এবং লম্বায় 3 মিটার হওয়া বাঞ্ছনীয়। এতে অন্তর্বর্তীকালীন পরিচর্যা করতে সুবিধা হয়। এক হেক্টর জমির চারা উৎপাদন করতে 20টি বীজতলার প্রয়োজন হয়। বীজতলার মাটি সমপরিমাণ বালি, মাটি ও কম্পোস্ট মিশিয়ে ঝুরঝুরে করে তৈরি করতে হয়। দ্বিতীয় বীজতলায় চারা স্থানান্তরের 7/8 দিন পূর",আগাম জাতের ফুলকপির বীজ বপনের উপযুক্ত সময় আগস্ট মাস (মধ্য শ্রাবণ থেকে মধ্য ভাদ্র)। মাঝারি জাতের ফুলকপির বীজ বপন করতে হয় সেপ্টেম্বর মাসে (মধ্য আশ্বিন)। আর নাবি জাতের বীজ অক্টোবর মাস (মধ্য আশ্বিন থেকে মধ্য কার্তিক)। হেক্টরপ্রতি ফুলকপি চাষের জন্য বীজের প্রয়োজন হয় 200-250 গ্রাম।,,,"রোপণের পর গাছে যখন 12 থেকে 15টি পাতা হয় তখনই প্রপুস্প মঞ্জুরী দেখা যায়। নাবি জাতসমূহে বা যে সমস্ত জাত দ্বি-বর্ষজীবী সে ক্ষেত্রে 25-30 পাতা হওয়ার পর প্রপুস্প মঞ্জুরী দেখা যায়। এরপর প্রপুস্পমঞ্জুরী পূর্ণ আকার ধারণ করতে আরও 15 দিন সময় লাগে। জাতভেদে রোপণের 40-45 দিন পর প্রপুস্পমঞ্জুরী দেখা যায় এবং 80-90 দিন পর সংগ্রহের উপযুক্ত হয়। অবশ্য নাবি জাতে বিশেষ করে যেগুলি দ্বি-বর্ষজীবী সে গুলো আরও অনেক বেশি সময় নিয়ে থাকে। ফুলকপির প্রপুস্পমঞ্জুরী একটি নির্দিষ্ট আকার লাভ করার পর দৃঢ়, ঠাসা এবং আকর্ষণী",,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,cabbage,বাঁধাকপি,186,,,,,,,,,,,,,,,,,,,,,,2,গভীর চাষ দিয়ে মাটির ঢেলা ভেঙ্গে আগাছা পরিষ্কার করে ভালভাবে বাঁধাকপির জন্য জমি তৈরি করতে হয়।,,,,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,broccoli,ব্রোকলি,188,,,,,,,,,,,,,,,,,,,,,,0,,,,,,text outlined in the PDF (no text layer); read page 188,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,red amaranth,লালশাক,189,,,,2.0,2.5,20.0,,,,,,,,,,,,,,,,6,সারা বছরই এ জাতের লালশাক চাষ করা যায়।,হেক্টরপ্রতি 2.0-2.5 কেজি।,,,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,spinach,পালংশাক,190,1 Oct-30 Nov,10-01,11-30,,,,,180.0,125.0,125.0,,,,10.0,,,,,,,,11,এটি শীতকালীন পাতা জাতীয় ফসল অক্টোবর থেকে নভেম্বর মাসে বীজ বপন করতে হয়। সারের পমিাণ ও প্রয়োগ পদ্ধতি (হেক্টর ও শতাংশপ্রতি) ,,,,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,pak choi and Chinese cabbage,বাটিশাক ও চীনাশাক,191,,,,,,,,225.0,125.0,175.0,,,,11.0,,,,,,,,8,সারা বছরই বাটিশাক ও চীনাশাক চাষ করা যায়। বীজ উৎপাদনের জন্য শীতকালে চাষ করতে হয়।,,,,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,Malabar spinach,পুঁইশাক,192,1 Feb-30 May; 1 May-30 Jun,02-01,05-30,2.0,2.5,,15.0,175.0,115.0,115.0,,,10.0,11.0,,,12.0,15.0,,,,34,সব্জি উৎপাদনের জন্য ফেব্রুয়ারী থেকে মে মাস পর্যন্ত এবং বীজ উৎপাদনের জন্য মে-জুন মাসে বীজ বপন করা যায়।,চারা তৈরির ক্ষেত্রে 2.0-2.5 কেজি/হেক্টর এবং সরাসরি বপন পদ্ধতিতে 3.0-3.5 কেজি/হেক্টর।,জমি প্রস্তুতের সময় অর্ধেক গোবর সার প্রয়োগ করতে হবে। বাকি অর্ধেক গোবর এবং সম্পুর্ণ টিএসপি সার গর্তে প্রয়োগ করতে হবে। একক গাছ সংগ্রহের ক্ষেত্রে ইউরিয়া ও এমওপি সার সমান 2 ভাগে ভাগ করে চারা লাগানোর 7-10 দিন পর 1ম কিস্তি এবং 25 দিন পর 2য় কিস্তি প্রয়োগ করতে হবে। ঘন ঘন কাণ্ড কর্তন পূর্বক সংগ্রহের ক্ষেত্রে প্রত্যেকবার ডগা কর্তনের পর পরিমানমত ইউরিয়া ও এমওপি সার প্রয়োগ করতে হবে। আর যদি মাচায় চাষ করে 7-8 মাস ব্যাপী ফসল সংগ্রহ করা হয় সে ক্ষেত্রে প্রতিবারই ডগা কাটার পর অল্প পরিমাণ ইউরিয়া ও এমপি সার প্রয়োগ করতে হবে। পুঁই শাকের ডগা প্রথমবার কর্তনের পর (রোপন বা চারা লাগানোর 30-35 দিন পর) 15-20 দিন পরপর 7-8 বার সংগ্রহ করা যায়।,"বেড ও নালা পদ্ধতিতে পূঁইশাকের জমিতে সেচ দেয়া সুবিধাজনক। বীজ গজানোর পর থেকে 10 দিন পর পর সেচ দেয়া উচিৎ। যদি খরার প্রবণতা লক্ষ্য করা যায় তাহলে নিয়মিত ভাবে 7-10 দিন পর পর সেচ দিতে হয়। না হলে পূঁইশাকের পাতা আঁশ যুক্ত হয়ে যায় ফলে গুনগতমান, ফলন ও বাজার মূল্য কমতে থাকে।",শাঁক হিসেবে সংগ্রহের জন্য 10-12 টি পাতাসহ কচি ডগা প্রথমবার কর্তনের 15-20 দিন পর পর কেটে অথবা 30-35 দিন বয়সের সম্পূর্ণ গাছ সংগ্রহ করা যেতে পারে। গাঢ় কালচে খয়েরী রং এর ফল সংগ্রহ করা হয়। তখন এর শাখাগুলি হলুদাভ রং ধারণ করে এবং শুকিয়ে আসতে থাকে। বীজ সহ প্রায় 40-45 সেমি লম্বা শাখা কেটে সংগ্রহ করে হাত দ্বারা ঘষা দিয়ে এর উপরোস্থ রসালো পিচ্ছিল আবরণ সরাতে হবে। সাধারণত 12-15 দিন বিরতিতে 6-7 বার একটি গাছ থেকে বীজ সংগ্রহ করা যেতে পারে। অতঃপর বীজগুলো থ্রেসিং ফ্লোরে ত্রিপলের উপর বিছিয়ে ভালভাবে রোদ্রে শ,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,green amaranth,সবুজ ডাঁটা শাক,197,,,,1.98,2.47,,,,,,,,,,,,,,,,,10,,ডাঁটাশাক সারা বছর চাষ করা যায় তবে খরিফ মৌসুমে বপন করলে উৎকৃষ্ট মানের শাক পাওয়া যায়। ডাটা শাকের বীজ হার 8-10 গ্রাম/শতাংশ।,,,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,water spinach,গীমাকলমি,199,15 Mar-15 Apr; 15 Jul-15 Aug,03-15,04-15,,,,,,,,,,,,,,,,,,,6,বছরের যে কোন সময়েই চাষ করা যেতে পারে। চৈত্র মাস (মধ্য-মার্চ থেকে মধ্য-এপ্রিল) থেকে শুরু করে শ্রাবণ মাস (মধ্য-জুলাই থেকে মধ্য-আগস্ট) পর্যন্ত লাগানো যেতে পারে।,,"ইউরিয়া সার 3 কিস্তিতে যথাক্রমে 1ম, 2য় ও 3য় বার ফসল কাটার পর প্রয়োগ করতে হবে।",বর্ষাকালে সাধারণত পানি সেচের প্রয়োজন হয় না। তবে এক নাগাড়ে বৃষ্টি না হলে 10-15 দিন অন্তর অন্তর পানি সেচ দেওয়া আবশ্যক।,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,okra,ঢেঁড়স,200,1 Feb-30 Jul,02-01,07-30,4.0,5.0,60.0,40.0,150.0,100.0,150.0,,,,,,,,,,,,6,বাংলাদেশে সাধারণত ফেব্রুয়ারি থেকে জুলাই মাস পর্যন্ত ঢেঁড়স লাগানো হয়। তবে বছরের অন্যান্য সময়ও সীমিতভাবে এর চাষ হয়ে থাকে। প্রতি হেক্টরে বপনের জন্য 4-5 কেজি (12-20 গ্রাম/শতাংশ) বীজের প্রয়োজন হয়।,,,,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,cucurbits (general),কুমড়াজাতীয় সবজি,202,1 Oct-30 Dec; 1 Feb-30 May,10-01,12-30,5.0,6.0,8.0,10.0,,,150.0,100.0,12.5,10.0,,,,20.0,25.0,,,,17,শীতকালে চাষের জন্য অক্টোবর - ডিসেম্বর এবং গ্রীষ্মকালে চাষের জন্য ফেব্রুয়ারি-মে মাসে বীজ বপন করা যায়। চারা নার্সারিতে পলিব্যাগে উৎপাদন করে নিলে ভাল হয়। বীজ বপনের জন্য 8 × 10 সেমি বা তার থেকে কিছুটা বড় আকারের পলিব্যাগ ব্যবহার করা যায়। প্রথমে অর্ধেক মাটি ও অর্ধেক গোবর মিশিয়ে মাটি তৈরি করে পলিব্যাগে ভরতে হবে। সহজ অঙ্কুরোদ্গমের জন্য পরিষ্কার পানিতে 15-20 ঘণ্টা অথবা শতকরা এক ভাগ পটাশিয়াম নাইট্রেট দ্রবণে বীজ এক রাত্রি ভিজিয়ে অতঃপর পলিব্যাগে বপন করতে হবে। প্রতি ব্যাগে একটি করে বীজ বুনতে হবে। বীজের আকারের দ্বিগুন মাটির গভীরে বীজ পুঁতে দিতে হবে। বীজ সরাসরি মাদায়ও বপন করা হয়। সেক্ষেত্রে সার প্রয়োগ ও মাদা তৈরির 4-5 দিন পর প্রতি মাদায় 2-3টি করে বীজ বপন করা যেতে পারে। নার্সারিতে চারার প্রয়োজন,প্রতি হেক্টরে 5-6 কেজি (প্রতি শতাংশে 20-25 গ্রাম) বীজের প্রয়োজন হয়।,,, কাঁচা ফল পরাগায়ণের 20-25 দিনের মধ্যে সংগ্রহ করতে হবে। তখনও ফলে সবুজ রঙ থাকবে এবং ফল মসৃণ ও উজ্জ্বল দেখাবে। নখ দিয়ে ফলের গায়ে চাপ দিলে নখ সহজেই ভিতরে ঢুকে যাবে। সারের নাম মোট সারের পরিমাণ জমি তৈরির সময় মাদা প্রতি হেক্টরপ্রতি শতাংশপ্রতি শতাংশপ্রতি চারা রোপণের 7-10 দিন পূর্বে চারা রোপণের 10-15 দিন পর চারা রোপণের 30-35 দিন পর চারা রোপণের 50-55 দিন পর চারা রোপণের 70-75 দিন পর পচা গোবর 10 টন 40কেজি 10 কেজি 5 কেজি - - - - টিএসপি 175কেজি 700 গ্রাম 350 গ্রাম 60 গ্রাম - - - - ইউরিয়া 175 কেজি 700 গ্র,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
vegetable,bottle gourd,লাউ,206,1 Aug-30 Oct; 1 Feb-30 May,08-01,10-30,2.0,3.0,8.0,10.0,150.0,175.0,150.0,100.0,12.0,10.0,10.0,,,,,,,,27, শীতকালে চাষের জন্য আগস্ট - অক্টোবর এবং গ্রীষ্মকালে চাষের জন্য ফেব্রুয়ারি-মে মাসে বীজ বপন করা যায়।  লাউ চাষের জন্য চারা নার্সারিতে পলিব্যাগে উৎপাদন করে নিলে ভাল হয়।  বীজ বপনের জন্য 8 × 10 সেমি বা তার থেকে কিছুটা বড় আকারের পলিব্যাগ ব্যবহার করা যায়।  প্রথমে অর্ধেক মাটি ও অর্ধেক গোবর মিশিয়ে মাটি তৈরি করে পলিব্যাগে ভরতে হবে।  সহজ অঙ্কুরোদ্গমের জন্য পরিষ্কার পানিতে 15-20 ঘণ্টা অথবা বীজ এক রাত্রি ভিজিয়ে অতঃপর পলিব্যাগে বপন করতে হবে।  প্রতি ব্যাগে একটি করে বীজ বুনতে হবে। বীজের আকারের দ্বিগুন মাটির গভীরে বীজ পুঁতে দিতে হবে। বীজ সরাসরি মাদায়ও বপন করা হয়। সেক্ষেত্রে সার প্রয়োগ ও মাদা তৈরির 4-5 দিন পর প্রতি মাদায় 2-3টি করে বীজ বপন করা যেতে পারে।  নার্সারিতে চারার প্রয়োজনীয় পরিচ,হেক্টরপ্রতি 2-3 কেজি (শতাংশ প্রতি 8-10 গ্রাম) বীজের প্রয়োজন হয়।,,লাউ ফসল পানির প্রতি খুবই সংবেদনশীল। কাজেই সেচ নালা দিয়ে প্রয়োজন অনুসারে নিয়মিত সেচ দিতে হবে। লাউয়ের জমিতে কখনও সমস্ত জমি ভিজিয়ে প্লাবন সেচ দেয়া যাবে না। শুধুমাত্র সেচ নালায় পানি দিয়ে আটকে রাখলে গাছ পানি টেনে নিবে। প্রয়োজনে সেচ নালা হতে ছোট কোন পাত্র দিয়ে কিছু পানি গাছের গোড়ায় সেচে দেওয়া যায়। শুষ্ক মৌসুমে লাউ ফসলে 5-7 দিন অন্তর সেচ দেয়ার প্রয়োজন পড়ে। ,,,"BARI Krishi Projukti Hatboi, 10th edition (Dec 2024), Akhond et al. (eds.) 2025"
